LC_Class_I blue_0 blue_1 blue_2 blue_3 blue_4 blue_5 green_0 green_1 green_2 green_3 green_4 green_5 red_0 red_1 red_2 red_3 red_4 red_5 red_edge_1_0 red_edge_1_1 red_edge_1_2 red_edge_1_3 red_edge_1_4 red_edge_1_5 red_edge_2_0 red_edge_2_1 red_edge_2_2 red_edge_2_3 red_edge_2_4 red_edge_2_5 red_edge_3_0 red_edge_3_1 red_edge_3_2 red_edge_3_3 red_edge_3_4 red_edge_3_5 nir_1_0 nir_1_1 nir_1_2 nir_1_3 nir_1_4 nir_1_5 swir_1_0 swir_1_1 swir_1_2 swir_1_3 swir_1_4 swir_1_5 swir_2_0 swir_2_1 swir_2_2 swir_2_3 swir_2_4 swir_2_5 NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5 x_coord y_coord
1.0 251.00003051757812 277.0 811.000244140625 532.5782470703125 383.1896667480469 731.0 427.0000305175781 468.0 1098.0001220703125 597.6998291015625 473.9967041015625 912.9998779296875 308.0000305175781 386.0 1180.0001220703125 513.9539794921875 389.99798583984375 838.9998779296875 754.0000610351562 715.0 1802.0001220703125 764.15625 674.9224243164062 1163.999755859375 1749.0 1584.0 2663.0 1444.5887451171875 1467.422607421875 1950.99951171875 2001.0001220703125 1824.0 2965.0 1743.288818359375 1728.236328125 2217.99951171875 2116.0 1922.0 2378.0 1811.9136962890625 1783.353759765625 2217.99951171875 1128.0 1018.0 2251.0 1123.69775390625 1112.901123046875 1403.9998779296875 595.0 580.0 1825.0001220703125 681.6243286132812 611.150390625 944.0 0.7458746433258057 0.6655113101005554 0.3367060422897339 0.5755854249000549 0.6498249769210815 0.4510958194732666 764255.0 9744915.0
1.0 757.3488159179688 959.5750732421875 893.9346313476562 285.00537109375 2297.998779296875 421.5 830.2373046875 1061.8375244140625 948.5574951171875 532.0034790039062 2117.999755859375 515.5 601.5169677734375 912.74609375 763.984375 350.0020446777344 1736.000244140625 408.5 1055.87255859375 1312.2490234375 1102.6376953125 878.9989013671875 2134.99951171875 649.0 2546.68310546875 2405.845947265625 2026.033203125 2161.001708984375 3256.999755859375 1435.5 3025.72802734375 2863.6611328125 2360.431396484375 2616.0009765625 3685.0 1708.5 3073.4189453125 2670.193359375 2357.482421875 2810.002197265625 3838.000244140625 1732.0 1741.2518310546875 1567.4423828125 1352.62646484375 1265.0015869140625 2008.0001220703125 1001.5 933.114990234375 976.6592407226562 874.5631103515625 632.9996948242188 1299.99951171875 587.5 0.6787012815475464 0.5028597116470337 0.5616440773010254 0.7784802913665771 0.377108097076416 0.5715493559837341 752845.0 9711775.0
1.0 256.0 769.0 1057.9998779296875 343.68121337890625 401.504150390625 699.0 397.0 892.5 1142.0 497.9468994140625 496.0631103515625 767.0 260.0 626.5 867.9999389648438 397.14990234375 327.69775390625 490.0 647.0 1103.0 1401.9998779296875 869.0338745117188 783.15869140625 922.0 1786.0 2489.5 3035.0 2382.38525390625 2045.573486328125 2066.0 2153.0 3010.5 3505.0 2666.65673828125 2485.2021484375 2377.0 2248.0 2767.0 3078.000244140625 2234.78076171875 2543.5146484375 2690.0 1213.0 1761.5 1874.0001220703125 1532.0213623046875 1309.24365234375 1331.0 588.0 906.5 986.0 795.36865234375 614.1375122070312 631.0 0.7926633954048157 0.693927526473999 0.5600608587265015 0.7027273178100586 0.7817806005477905 0.6918238997459412 756945.0 9736125.0
1.0 524.0 6268.0 580.6140747070312 254.0 469.0 490.61822509765625 833.5 5884.0 897.8206176757812 564.0 807.0 812.3681640625 501.0 5644.0 506.9705505371094 270.0 482.0 459.90142822265625 1282.0 5844.0 1303.623046875 1072.0 1299.0 1300.3402099609375 3502.5 5701.0 3646.555419921875 3143.0 3469.0 3714.215087890625 4081.0 5673.0 4493.60595703125 3628.0 4052.0 4391.3037109375 4186.0 5416.0 4120.7529296875 3651.0 4065.0 4472.05908203125 1856.5 2386.0 1864.0911865234375 1880.0 2014.0 2050.804443359375 886.0 1393.0 934.7081909179688 867.0 1006.0 973.7113647460938 0.7832056283950806 -0.020614854991436005 0.7806975841522217 0.862280011177063 0.7879920601844788 0.816595196723938 778295.0 9829195.0
1.0 2023.965087890625 521.0 1018.9985961914062 666.0 505.0 271.5 2052.550537109375 563.0 1051.999267578125 909.0 811.0 591.0 1784.176025390625 350.0 841.9993896484375 640.0 480.0 253.5 2243.469482421875 674.0 1199.999755859375 1239.0 1079.0 973.5 3517.2236328125 1729.0 2317.0009765625 2923.000244140625 2888.0 3410.0 3925.756103515625 2076.0 2627.001220703125 3358.0 3398.0 3950.5 4011.94775390625 1893.0 2425.00244140625 3605.0 3754.0 4035.5 2549.017822265625 957.0 1455.0008544921875 1610.0 1624.0 1716.5 1604.0028076171875 517.0 910.0005493164062 867.0 850.0 756.5 0.38461777567863464 0.6879180073738098 0.4845430850982666 0.6984687447547913 0.7732640504837036 0.8819462060928345 779155.0 9836205.0
1.0 366.0009460449219 534.0 769.9306640625 1113.9998779296875 419.0 285.0 556.0005493164062 661.5 819.4224853515625 1012.9999389648438 545.5 393.0 412.0007629394531 616.5 642.8360595703125 828.9999389648438 379.5 303.0 788.0008544921875 1026.0 815.2008056640625 1016.0000610351562 765.0 647.0 1805.000732421875 1544.5 1528.5059814453125 1619.000244140625 1928.0 1798.0 2149.001220703125 1891.5 1778.6639404296875 1849.0001220703125 2205.0 2151.0 2180.00048828125 1438.0 2200.052734375 1942.000244140625 2325.0 2128.0 1478.0001220703125 1488.0 1107.728271484375 1284.0 1491.5 1503.0 744.001220703125 1221.5 553.37451171875 666.0001220703125 734.5 746.0 0.6820988059043884 0.41216254234313965 0.5861932635307312 0.40166014432907104 0.7193760275840759 0.7507198452949524 738045.0 9728215.0
1.0 658.5 752.5 320.1372985839844 197.12843322753906 662.0 397.5 818.5 814.0 445.439697265625 354.5518798828125 765.0000610351562 546.5 631.0 704.5 316.28436279296875 245.0802459716797 498.0000305175781 412.5 1121.5 1016.0 741.16259765625 752.187744140625 1019.0000610351562 792.0 2195.0 1806.5 1975.947509765625 2101.456787109375 2579.999755859375 1937.5 2461.0 1954.5 2481.50732421875 2547.340087890625 3027.0 2277.5 2423.0 1921.0 2346.40576171875 2570.555419921875 3086.0 2281.0 1655.0 1209.5 1373.7628173828125 1213.4476318359375 1530.0 1268.0 1022.0 744.0 643.4688720703125 572.7634887695312 628.0000610351562 640.0 0.6333358883857727 0.5248246192932129 0.7697535157203674 0.826419472694397 0.722098171710968 0.7001802921295166 768495.0 9708145.0
1.0 432.7991638183594 444.00323486328125 249.2953643798828 384.26763916015625 926.87255859375 378.5 562.0802001953125 554.0064086914062 386.099853515625 487.7703857421875 1018.028076171875 432.5 409.4264831542969 393.00653076171875 260.0277404785156 410.8236999511719 924.9345703125 341.5 1094.3345947265625 981.0106811523438 854.5606689453125 952.5369873046875 1396.6072998046875 809.0 3033.339111328125 3326.995361328125 2938.19091796875 2729.670654296875 2910.8125 2415.0 3641.044189453125 4149.98046875 3581.544677734375 3316.683837890625 3418.199462890625 3017.5 3902.39794921875 4227.9833984375 3637.3515625 3515.219970703125 3477.39404296875 3152.0 1846.01318359375 1900.9931640625 1620.9041748046875 1768.9610595703125 2078.0859375 1556.5 861.079345703125 931.99853515625 742.1759643554688 868.1384887695312 1203.353271484375 733.5 0.8103671073913574 0.8299035429954529 0.8680647611618042 0.791655957698822 0.5851934552192688 0.8045039176940918 718215.0 9722265.0
1.0 270.5 2425.5 378.00006103515625 369.184326171875 564.1893920898438 396.5 371.0 2433.0 489.0000305175781 478.39190673828125 596.9771728515625 520.5 352.5 2273.5 368.0000305175781 353.141845703125 431.2591857910156 431.0 608.0 2313.0 785.9999389648438 654.5429077148438 737.1842041015625 793.0 1218.0 2563.0 1581.0 1491.2523193359375 1655.9296875 1781.0 1472.5 2733.5 1963.0001220703125 1835.852783203125 1965.4283447265625 2102.0 1381.0 2630.0 1848.0 1907.488037109375 1989.703125 1958.0 990.0 1133.5 1325.0 1162.28369140625 1299.776123046875 1487.5 696.5 613.5 654.0 598.9194946289062 630.0955810546875 739.5 0.630802571773529 0.31987908482551575 0.667870044708252 0.6888759732246399 0.645241916179657 0.640363335609436 764495.0 9727075.0
1.0 909.0 351.868896484375 1019.4405517578125 406.2308349609375 485.13275146484375 1829.9998779296875 1108.0 415.17657470703125 953.3858642578125 538.9127197265625 603.2923583984375 1810.0001220703125 1059.5 280.80035400390625 679.1292114257812 464.68707275390625 420.3101806640625 1488.0001220703125 1530.0 773.1100463867188 1134.66796875 808.5634765625 945.8646240234375 2159.0 2643.0 2288.7705078125 2691.36083984375 2132.663818359375 2463.552734375 3736.999755859375 3066.5 2744.16845703125 3245.28564453125 2710.7080078125 3016.662841796875 4223.99951171875 2801.0 2448.29833984375 3029.687744140625 2153.56103515625 2676.008544921875 4231.99951171875 1990.0 1274.78076171875 1597.214599609375 1326.3837890625 1541.701904296875 2103.000244140625 1606.5 619.6895141601562 802.7855224609375 695.134765625 815.7704467773438 1323.00048828125 0.5508129000663757 0.8186694383621216 0.6556260585784912 0.6526026725769043 0.7288246154785156 0.47972020506858826 758405.0 9742075.0
